tile_path,set_type,parent_image,row,col,tile_index
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_01.png,train,frame_0202,1,1,1
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_02.png,train,frame_0202,1,2,2
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_03.png,train,frame_0202,1,3,3
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_04.png,train,frame_0202,1,4,4
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_05.png,train,frame_0202,1,5,5
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_06.png,train,frame_0202,1,6,6
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_07.png,train,frame_0202,1,7,7
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_08.png,train,frame_0202,1,8,8
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_09.png,train,frame_0202,2,1,9
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_10.png,train,frame_0202,2,2,10
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_11.png,train,frame_0202,2,3,11
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_12.png,train,frame_0202,2,4,12
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_13.png,train,frame_0202,2,5,13
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_14.png,train,frame_0202,2,6,14
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_15.png,train,frame_0202,2,7,15
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_16.png,train,frame_0202,2,8,16
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_17.png,train,frame_0202,3,1,17
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_18.png,train,frame_0202,3,2,18
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_19.png,train,frame_0202,3,3,19
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_20.png,train,frame_0202,3,4,20
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_21.png,train,frame_0202,3,5,21
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_22.png,train,frame_0202,3,6,22
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_23.png,train,frame_0202,3,7,23
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_24.png,train,frame_0202,3,8,24
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_25.png,train,frame_0202,4,1,25
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_26.png,train,frame_0202,4,2,26
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_27.png,train,frame_0202,4,3,27
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_28.png,train,frame_0202,4,4,28
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_29.png,train,frame_0202,4,5,29
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_30.png,train,frame_0202,4,6,30
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_31.png,train,frame_0202,4,7,31
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_32.png,train,frame_0202,4,8,32
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_33.png,train,frame_0202,5,1,33
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_34.png,train,frame_0202,5,2,34
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_35.png,train,frame_0202,5,3,35
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_36.png,train,frame_0202,5,4,36
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_37.png,train,frame_0202,5,5,37
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_38.png,train,frame_0202,5,6,38
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_39.png,train,frame_0202,5,7,39
frames_dataset_tiles/train/frame_0202_tiles/frame_0202_tile_40.png,train,frame_0202,5,8,40
